"","line","fStarve"
"1","line_100",77.92
"2","line_101",57.76
"3","line_105",73.12
"4","line_109",53.44
"5","line_129",42.7755102040816
"6","line_136",104.32
"7","line_138",59.52
"8","line_142",59.265306122449
"9","line_149",47
"10","line_153",59.04
"11","line_158",77.0612244897959
"12","line_161",53.76
"13","line_176",54.2040816326531
"14","line_177",53.7142857142857
"15","line_181",56.96
"16","line_189",57.6
"17","line_195",65.6
"18","line_208",53.6
"19","line_21",74.72
"20","line_217",106.56
"21","line_223",68.1666666666667
"22","line_227",52.16
"23","line_228",65.9591836734694
"24","line_229",39.3469387755102
"25","line_233",73.1428571428571
"26","line_235",71.3333333333333
"27","line_237",53.6
"28","line_239",59.2280701754386
"29","line_26",39.1111111111111
"30","line_28",50.08
"31","line_280",69.8333333333333
"32","line_287",64.6530612244898
"33","line_301",66.4
"34","line_303",54.72
"35","line_304",68.96
"36","line_306",65.3333333333333
"37","line_307",75.7446808510638
"38","line_309",62.2040816326531
"39","line_31",72.1194029850746
"40","line_310",55.1724137931034
"41","line_313",72.8163265306122
"42","line_315",51.84
"43","line_317",48.64
"44","line_318",59.7446808510638
"45","line_319",64.8333333333333
"46","line_32",56.16
"47","line_320",87.52
"48","line_321",52
"49","line_324",34.4489795918367
"50","line_325",43.68
"51","line_332",47.52
"52","line_335",69.12
"53","line_336",75.1020408163265
"54","line_338",61.28
"55","line_340",57.6326530612245
"56","line_348",50.08
"57","line_350",53
"58","line_352",45.6
"59","line_354",57.9591836734694
"60","line_355",66.24
"61","line_356",83.1020408163265
"62","line_357",63.68
"63","line_358",55.3469387755102
"64","line_359",51.84
"65","line_360",53.7142857142857
"66","line_361",55.84
"67","line_362",74.8070175438596
"68","line_365",50.5
"69","line_367",60.8
"70","line_370",55.04
"71","line_371",57.12
"72","line_373",72.16
"73","line_374",60.48
"74","line_375",66.72
"75","line_377",64.1632653061225
"76","line_379",88.1818181818182
"77","line_38",44.7142857142857
"78","line_380",42.24
"79","line_381",42.3829787234043
"80","line_382",67.5
"81","line_383",58.6
"82","line_385",71.8367346938775
"83","line_386",37.7543859649123
"84","line_390",44.734693877551
"85","line_391",63.2
"86","line_392",51.52
"87","line_395",59.84
"88","line_397",50
"89","line_399",55.52
"90","line_40",67.3333333333333
"91","line_405",58.72
"92","line_406",59.063829787234
"93","line_409",51.04
"94","line_41",77.7142857142857
"95","line_42",39.8367346938776
"96","line_426",54.5964912280702
"97","line_427",53.2525252525253
"98","line_437",64.5137614678899
"99","line_439",50.5
"100","line_440",70.3505154639175
"101","line_441",69.12
"102","line_443",58.08
"103","line_45",49.44
"104","line_461",40.48
"105","line_48",78.88
"106","line_486",68.8
"107","line_49",66.08
"108","line_491",78.4
"109","line_492",70.2666666666667
"110","line_502",42.6122448979592
"111","line_505",41.6326530612245
"112","line_508",52.96
"113","line_513",44.64
"114","line_517",44.32
"115","line_528",61.2244897959184
"116","line_530",71.340206185567
"117","line_531",56
"118","line_535",60.8
"119","line_551",55.84
"120","line_555",50.88
"121","line_559",54.530612244898
"122","line_563",57.76
"123","line_566",59.84
"124","line_57",48.64
"125","line_584",62.08
"126","line_589",64.32
"127","line_59",45.0612244897959
"128","line_595",56.8163265306122
"129","line_596",70.88
"130","line_627",48.48
"131","line_630",68.0888888888889
"132","line_634",55.5102040816327
"133","line_639",56.8
"134","line_642",89
"135","line_646",77.7142857142857
"136","line_69",49.6326530612245
"137","line_703",45.6
"138","line_705",74.6666666666667
"139","line_707",80.4897959183673
"140","line_712",39.84
"141","line_714",74.6122448979592
"142","line_716",87.04
"143","line_721",63.3333333333333
"144","line_727",46.7058823529412
"145","line_73",73.92
"146","line_730",68.734693877551
"147","line_732",40
"148","line_737",66.4
"149","line_738",46.08
"150","line_748",63.68
"151","line_75",90.24
"152","line_757",54.5454545454545
"153","line_761",54.88
"154","line_765",38.08
"155","line_774",60.64
"156","line_776",79.68
"157","line_783",60
"158","line_786",64.16
"159","line_787",59.5744680851064
"160","line_790",71.6734693877551
"161","line_796",62.72
"162","line_799",72.8
"163","line_801",58.4489795918367
"164","line_802",66.24
"165","line_804",54.5671641791045
"166","line_805",55.0204081632653
"167","line_808",42.7755102040816
"168","line_810",61.3877551020408
"169","line_812",91.2
"170","line_818",69
"171","line_819",49.92
"172","line_820",64.3333333333333
"173","line_821",65.6
"174","line_822",77.7142857142857
"175","line_83",55.52
"176","line_832",65.7777777777778
"177","line_837",67.2432432432432
"178","line_843",75.4042553191489
"179","line_849",76.1739130434783
"180","line_85",43.04
"181","line_850",45.8666666666667
"182","line_852",66.7755102040816
"183","line_853",56.3265306122449
"184","line_855",51.4285714285714
"185","line_857",57.469387755102
"186","line_859",64.96
"187","line_861",50.8936170212766
"188","line_879",57.3061224489796
"189","line_88",50.9387755102041
"190","line_882",89.28
"191","line_884",50.8936170212766
"192","line_887",73.6666666666667
"193","line_890",50.2857142857143
"194","line_892",64
"195","line_894",64.16
"196","line_897",63.6734693877551
"197","line_900",50.4
"198","line_907",59.52
"199","line_908",68.64
"200","line_91",71.36
"201","line_911",44.0816326530612
"202","line_913",78.88
"203","line_93",57.12
